2025-10-20 10:12:29,455 - INFO - Project File Monitor started
2025-10-20 10:13:57,950 - INFO - Project File Monitor started
2025-10-20 11:57:09,039 - INFO - Project File Monitor started
2025-10-20 12:11:22,852 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Heater External Support\Heater External Supports.iam.dwf | Content changed & File modified
2025-10-20 12:11:23,485 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Parts\BOTTOM PLATE.ipt.dwf | Content changed & File modified
2025-10-20 12:11:23,487 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Parts\BOTTOM PLATE.ipt.dwf | Content changed & File modified
2025-10-20 12:11:27,876 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Parts\TOP PLATE.ipt.dwf | Content changed & File modified
2025-10-20 12:11:27,876 - INFO - JOB:35371 | UPDATED | 4. Drafting\Fabs\HWT2\Parts\TOP PLATE.ipt.dwf | Content changed & File modified
2025-10-20 12:11:33,428 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HWT2\Sub Assemblies\Side Manway\1012838-02.iam.dwf | New file (126.1 KB)
2025-10-20 12:11:33,429 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\HWT2\Sub Assemblies\Side Manway\1012838-02.iam.dwf | New file (126.1 KB)
2025-10-20 12:11:45,649 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\STACK\1047287 30X10 FOE.idw.dwf | New file (207.4 KB)
2025-10-20 12:11:45,650 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\STACK\1047287 30X10 FOE.idw.dwf | New file (207.4 KB)
2025-10-20 12:11:46,539 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\STACK\1058623 STACK CAP 30.idw.dwf | New file (1007.8 KB)
2025-10-20 12:11:46,539 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\STACK\1058623 STACK CAP 30.idw.dwf | New file (1007.8 KB)
2025-10-20 12:11:47,147 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\STACK\1058623-10 STACK CAP & STACK.iam.dwf | New file (158.8 KB)
2025-10-20 12:11:47,147 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\STACK\1058623-10 STACK CAP & STACK.iam.dwf | New file (158.8 KB)
2025-10-20 12:11:47,860 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\STACK\1058623-10 STACK CAP & STACK.idw.dwf | New file (254.3 KB)
2025-10-20 12:11:47,860 - INFO - JOB:35371 | NEW | 4. Drafting\Fabs\STACK\1058623-10 STACK CAP & STACK.idw.dwf | New file (254.3 KB)
2025-10-20 12:11:51,056 - INFO - JOB:35371 | NEW | 4. Drafting\Package\35371-04 HTR D-PMP.iam.dwf | New file (7.9 MB)
2025-10-20 12:11:51,057 - INFO - JOB:35371 | NEW | 4. Drafting\Package\35371-04 HTR D-PMP.iam.dwf | New file (7.9 MB)
2025-10-20 12:11:51,798 - INFO - JOB:35371 | NEW | 4. Drafting\Package\35371-04 HTR D-PMP.idw.dwf | New file (519.3 KB)
2025-10-20 12:11:51,800 - INFO - JOB:35371 | NEW | 4. Drafting\Package\35371-04 HTR D-PMP.idw.dwf | New file (519.3 KB)
2025-10-20 12:11:52,507 - INFO - JOB:35371 | NEW | 4. Drafting\Package\35371-04.1 HTR D-PMP 1PC FRM.iam.dwf | New file (250.8 KB)
2025-10-20 12:11:52,508 - INFO - JOB:35371 | NEW | 4. Drafting\Package\35371-04.1 HTR D-PMP 1PC FRM.iam.dwf | New file (250.8 KB)
2025-10-20 12:11:53,174 - INFO - JOB:35371 | NEW | 4. Drafting\Package\HI4040FG.idw.dwf | New file (264.0 KB)
2025-10-20 12:11:53,174 - INFO - JOB:35371 | NEW | 4. Drafting\Package\HI4040FG.idw.dwf | New file (264.0 KB)
2025-10-20 12:11:53,916 - INFO - JOB:35371 | NEW | 4. Drafting\Package\VNS4040P.idw.dwf | New file (278.1 KB)
2025-10-20 12:11:53,917 - INFO - JOB:35371 | NEW | 4. Drafting\Package\VNS4040P.idw.dwf | New file (278.1 KB)
2025-10-20 12:11:54,641 - INFO - JOB:35371 | NEW | 4. Drafting\Package\VNS4040PM.idw.dwf | New file (285.9 KB)
2025-10-20 12:11:54,656 - INFO - JOB:35371 | NEW | 4. Drafting\Package\VNS4040PM.idw.dwf | New file (285.9 KB)
2025-10-20 12:11:55,627 - INFO - JOB:35371 | NEW | 4. Drafting\Package\35371-04.1 HTR D-PLX SKID\SKID BASE D-PLEX.ipt.dwf | New file (156.2 KB)
2025-10-20 12:11:55,644 - INFO - JOB:35371 | NEW | 4. Drafting\Package\35371-04.1 HTR D-PLX SKID\SKID BASE D-PLEX.ipt.dwf | New file (156.2 KB)
